gmid_key,date,year,month,product_family,gmid,loc,country,market,geography,market_segmentation,pf_segmentation,gmid_segmentation,seg_combo,forecast_lag_3,log_sales,log_segment,seg_combo_lag,model_segment,gb_forecast,ada_forecast,bag_forecast,rf_forecast,final_forecast,final_best_model,absolute_error,mape,sales
100044_202507_NZ,2025-07-01,2025,7,1,100044,NZ001,NZ,New Zealand,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,221.0,4.330733340286331,Mid High,Secure_Regular MCO,Secure_Regular MCO_Mid High,74.39009556119224,75.47058823529412,75.34009657770324,75.0,75.0,rf_forecast,0.0,,0.0
100039_202507_AU,2025-07-01,2025,7,1,100039,AU001,AU,Australia,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,228.0,5.631211781821365,High,Secure_Regular MCO,Secure_Regular MCO_High,278.19373753487343,278.4761904761905,278.6502123725549,278.0156565656565,278.0156565656565,rf_forecast,0.0,,0.0
100039_202507_NZ,2025-07-01,2025,7,1,100039,NZ001,NZ,New Zealand,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,246.0,3.7376696182833684,Mid,Secure_Regular MCO,Secure_Regular MCO_Mid,41.634901691317026,40.29385964912281,40.184645553849336,41.0,41.0,rf_forecast,0.0,,0.0
100040_202507_AU,2025-07-01,2025,7,1,100040,AU001,AU,Australia,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,23.0,4.983606621708336,Mid High,Secure_Regular MCO,Secure_Regular MCO_Mid High,145.268637582714,144.90277777777777,144.8632856539869,145.0,145.0,rf_forecast,0.0,,0.0
100040_202507_NZ,2025-07-01,2025,7,1,100040,NZ001,NZ,New Zealand,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,166.0,2.3978952727983707,Low,Secure_Regular MCO,Secure_Regular MCO_Low,10.33832667537623,10.0,10.437219568778586,10.0,10.0,rf_forecast,0.0,,0.0
100045_202507_HK,2025-07-01,2025,7,1,100045,HK001,HK,Hong Kong,Greater China,Regular MCO,Secure,Gold,Secure_Regular MCO,0.0,5.455321115357702,High,Secure_Regular MCO,Secure_Regular MCO_High,232.5223104906039,233.0408163265306,232.75645739249634,233.0,233.0,rf_forecast,0.0,,0.0
200001_202507_US,2025-07-01,2025,7,2,200001,US001,US,United States,North America,Top MCO,Supply Growth,Auto Piloted,Supply Growth_Top MCO,1894.0,7.848543482456679,Extreme High,Supply Growth_Top MCO,Supply Growth_Top MCO_Extreme High,2558.7047502320243,2564.0,2559.102362914863,2562.288888888889,2558.7047502320243,gb_forecast,0.0,,0.0
200002_202507_US,2025-07-01,2025,7,2,200002,US001,US,United States,North America,Top MCO,Supply Growth,Auto Piloted,Supply Growth_Top MCO,2046.0,7.6838639802564295,Extreme High,Supply Growth_Top MCO,Supply Growth_Top MCO_Extreme High,2174.521576813861,2171.1,2171.956679292929,2170.7833333333333,2174.521576813861,gb_forecast,0.0,,0.0
200003_202507_US,2025-07-01,2025,7,2,200003,US001,US,United States,North America,Top MCO,Supply Growth,Auto Piloted,Supply Growth_Top MCO,2493.0,7.795234929002173,Extreme High,Supply Growth_Top MCO,Supply Growth_Top MCO_Extreme High,2430.5428607056247,2430.6,2431.868111259655,2428.687037037037,2430.5428607056247,gb_forecast,0.0,,0.0
200004_202507_US,2025-07-01,2025,7,2,200004,US001,US,United States,North America,Top MCO,Supply Growth,Auto Piloted,Supply Growth_Top MCO,2620.0,7.701652362642226,Extreme High,Supply Growth_Top MCO,Supply Growth_Top MCO_Extreme High,2209.586461511664,2215.6666666666665,2217.0211746601594,2212.2644444444445,2209.586461511664,gb_forecast,0.0,,0.0
