month,year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
5,25,15,150008,IS001,IS,30,22.8219184,23.90%,0.00%,0.00%,7.1780816,-7.1780816
5,25,15,150008,NO001,NO,467,312.698647,33.00%,0.01%,0.10%,154.301353,-154.301353
5,25,15,150009,FI001,FI,204,196,3.90%,0.00%,0.00%,8,-8
5,25,15,150009,SE001,SE,805,1045.243776,29.80%,0.02%,0.10%,240.2437755,240.2437755
5,25,15,150010,KR001,KR,"4,980",5400,8.40%,0.03%,0.20%,420,420
5,25,15,150011,GB001,GB,"3,766",3696.272197,1.90%,0.00%,0.00%,69.72780301,-69.72780301
5,25,15,150012,ES001,ES,"1,332",1263.092268,5.20%,0.00%,0.00%,68.9077315,-68.9077315
5,25,15,150013,BR001,BR,"2,370",12459,425.70%,0.66%,3.80%,10089,10089
5,25,15,150014,AU001,AU,"22,877",20526,10.30%,0.15%,0.90%,2351,-2351
5,25,15,150014,NZ001,NZ,8,12,50.00%,0.00%,0.00%,4,4
5,25,15,150015,BE001,BE,514,516.3826629,0.50%,0.00%,0.00%,2.382662941,2.382662941
5,25,15,150016,IL001,IL,"2,423",2582,6.60%,0.01%,0.10%,159,159
5,25,15,150018,FR001,FR,"8,107",7594.270995,6.30%,0.03%,0.20%,512.7290054,-512.7290054
5,25,15,150018,FR003,FR,195,292.2131721,49.90%,0.01%,0.00%,97.21317206,97.21317206
5,25,15,150019,MX001,MX,"1,345",919,31.70%,0.03%,0.20%,426,-426
5,25,15,150021,PL001,PL,"2,066",1746,15.50%,0.02%,0.10%,320,-320
5,25,15,150024,CO001,CO,"3,839",4718,22.90%,0.06%,0.30%,879,879
5,25,15,150025,PR001,PR,64,58,9.40%,0.00%,0.00%,6,-6
5,25,15,150025,US001,US,"16,811",14933,11.20%,0.12%,0.70%,1878,-1878
5,25,15,150026,SG002,SG,"1,726",922,46.60%,0.05%,0.30%,804,-804
5,25,15,150028,TW001,TW,"2,328",2105,9.60%,0.01%,0.10%,223,-223
5,25,15,150029,MY001,MY,936,830,11.30%,0.01%,0.00%,106,-106
5,25,15,150030,AT001,AT,86,66.49740913,22.70%,0.00%,0.00%,19.50259087,-19.50259087
5,25,15,150030,DE001,DE,283,421.1633895,48.80%,0.01%,0.10%,138.1633895,138.1633895
5,25,15,150031,DE001,DE,406,411.318732,1.30%,0.00%,0.00%,5.318732011,5.318732011
5,25,15,150032,CZ001,CZ,725,1100,51.70%,0.02%,0.10%,375,375
5,25,15,150033,CA001,CA,"1,395",1177,15.60%,0.01%,0.10%,218,-218
5,25,15,150034,ES001,ES,95,74.48675908,21.60%,0.00%,0.00%,20.51324092,-20.51324092
5,25,15,150034,PT001,PT,8,8,0.00%,0.00%,0.00%,0,0
5,25,15,150035,PT001,PT,220,178.6439697,18.80%,0.00%,0.00%,41.35603026,-41.35603026
5,25,15,150036,CO001,CO,682,681,0.10%,0.00%,0.00%,1,-1
5,25,15,150037,CAR01,CA,0,1,,0.00%,0.00%,1,1
5,25,15,150037,CR001,CR,0,1,,0.00%,0.00%,1,1
5,25,15,150037,GT001,GT,0,16,,0.00%,0.00%,16,16
5,25,15,150037,PA001,PA,0,265,,0.02%,0.10%,265,265
5,25,15,150038,TH001,TH,510,0,100.00%,0.03%,0.20%,510,-510
5,25,15,150039,GB001,GB,336,323.4843483,3.70%,0.00%,0.00%,12.51565174,-12.51565174
5,25,15,150041,KR001,KR,710,663,6.60%,0.00%,0.00%,47,-47
5,25,15,150042,FI001,FI,20,20,0.00%,0.00%,0.00%,5.32907E-14,5.32907E-14
5,25,15,150042,SE001,SE,64,63.49076809,0.80%,0.00%,0.00%,0.509231906,-0.509231906
5,25,15,150043,BR001,BR,400,2049,412.30%,0.11%,0.60%,1649,1649
5,25,15,150045,DK001,DK,20,26.42919278,32.10%,0.00%,0.00%,6.429192777,6.429192777
5,25,15,150045,IS001,IS,6,3.819998009,36.30%,0.00%,0.00%,2.180001991,-2.180001991
5,25,15,150045,NO001,NO,38,27.6884444,27.10%,0.00%,0.00%,10.3115556,-10.3115556
5,25,15,150047,GB001,GB,0,0,,0.00%,0.00%,0,0
5,25,15,150047,PR001,PR,"1,795",1646,8.30%,0.01%,0.10%,149,-149
5,25,15,150047,US001,US,"375,879",367152,2.30%,0.57%,3.30%,8727,-8727
5,25,15,150048,PR001,PR,173,139,19.70%,0.00%,0.00%,34,-34
5,25,15,150048,US001,US,"24,662",27202,10.30%,0.17%,1.00%,2540,2540
5,25,15,150052,IT001,IT,371,544,46.60%,0.01%,0.10%,173,173
5,25,15,150054,RO001,RO,30,70,133.30%,0.00%,0.00%,40,40
5,25,15,150057,GR001,GR,12,34,183.30%,0.00%,0.00%,22,22
5,25,15,150058,FR001,FR,"1,100",1095.738952,0.40%,0.00%,0.00%,4.261047521,-4.261047521
5,25,15,150058,FR003,FR,30,50.84014676,69.50%,0.00%,0.00%,20.84014676,20.84014676
5,25,15,150059,CN001,CN,"116,981",109379,6.50%,0.50%,2.90%,7602,-7602
5,25,15,150065,BE001,BE,47,45,4.30%,0.00%,0.00%,2,-2
5,25,15,150068,ZA001,ZA,111,105,5.40%,0.00%,0.00%,6,-6
5,25,15,150069,IL001,IL,226,211,6.60%,0.00%,0.00%,15,-15
5,25,15,150070,MX001,MX,66,96,45.50%,0.00%,0.00%,30,30
5,25,15,150074,IT001,IT,440,432.434117,1.70%,0.00%,0.00%,7.565883034,-7.565883034
5,25,15,150077,IT001,IT,10,0,100.00%,0.00%,0.00%,10,-10
5,25,15,150079,CZ001,CZ,63,79,25.40%,0.00%,0.00%,16,16
5,25,15,150086,AU001,AU,"4,504",4461,1.00%,0.00%,0.00%,43,-43
5,25,15,150086,NZ001,NZ,1,2,100.00%,0.00%,0.00%,1,1
5,25,15,150088,PL001,PL,384,526,37.00%,0.01%,0.10%,142,142
5,25,15,150089,SG002,SG,25,5,80.00%,0.00%,0.00%,20,-20
5,25,15,150090,MY001,MY,48,25,47.90%,0.00%,0.00%,23,-23
5,25,15,150091,TH001,TH,3,4,33.30%,0.00%,0.00%,1,1
5,25,15,150160,IT001,IT,7,0,100.00%,0.00%,0.00%,7,-7
5,25,15,150093,CN001,CN,"9,018",9149,1.50%,0.01%,0.00%,131,131
5,25,15,150095,CL001,CL,24,32,33.30%,0.00%,0.00%,8,8
5,25,15,150096,CL001,CL,277,235,15.20%,0.00%,0.00%,42,-42
5,25,15,150100,IL001,IL,273,280,2.60%,0.00%,0.00%,7,7
5,25,15,150101,IL001,IL,"1,684",1390,17.50%,0.02%,0.10%,294,-294
5,25,15,150102,KR001,KR,"5,094",5506,8.10%,0.03%,0.20%,412,412
5,25,15,150105,KR001,KR,115,130,13.00%,0.00%,0.00%,15,15
5,25,15,150107,GR001,GR,2,6,200.00%,0.00%,0.00%,4,4
5,25,15,150107,RO001,RO,0,20,,0.00%,0.00%,20,20
5,25,15,150108,GR001,GR,16,34,112.50%,0.00%,0.00%,18,18
5,25,15,150109,IT001,IT,"8,224",7721.12258,6.10%,0.03%,0.20%,502.8774204,-502.8774204
5,25,15,150110,AE002,AE,18,0,100.00%,0.00%,0.00%,18,-18
5,25,15,150110,EG001,EG,34,41,20.60%,0.00%,0.00%,7,7
5,25,15,150111,EG001,EG,302,949,214.20%,0.04%,0.20%,647,647
5,25,15,150111,LBN01,LB,0,200,,0.01%,0.10%,200,200
5,25,15,150112,BE001,BE,516,350.2931667,32.10%,0.01%,0.10%,165.7068333,-165.7068333
5,25,15,150112,NL001,NL,"1,246",1495.437931,20.00%,0.02%,0.10%,249.4379312,249.4379312
5,25,15,150113,BE001,BE,64,50.50230391,21.10%,0.00%,0.00%,13.49769609,-13.49769609
5,25,15,150113,NL001,NL,121,146.3950403,21.00%,0.00%,0.00%,25.39504026,25.39504026
