year,month,PRODUCT_FAMILY,GMID,LOC,Country
2025,7,15,150183,QA001,QA
2025,7,15,150184,KW001,KW
2025,7,4,400002,AU001,AU
2025,7,17,170021,UA001,UA
2025,7,17,170028,UA001,UA
2025,7,17,170039,GB001,GB
2025,7,17,170040,GB001,GB
2025,7,17,170063,MX001,MX
2025,7,11,110015,CZ001,CZ
2025,7,11,110031,TN001,TN
2025,7,11,110053,PE001,PE
2025,7,12,120021,NL001,NL
2025,7,13,130019,PT001,PT
2025,7,13,130020,PT001,PT
2025,7,6,600004,MY001,MY
2025,7,2,200002,IE001,IE
2025,7,2,200004,IE001,IE
2025,7,2,200005,IE001,IE
2025,7,8,800043,KW001,KW
2025,7,15,150040,BE001,BE
2025,7,15,150082,RU001,RU
2025,7,17,170072,GT001,GT
2025,7,11,110028,CY001,CY
2025,7,16,160033,DE001,DE
2025,7,16,160034,DE001,DE
2025,7,16,160064,CN001,CN
2025,7,15,150110,AE002,AE
2025,7,11,110005,DE001,DE
2025,8,6,600001,KR001,KR
2025,8,6,600002,HK001,HK
2025,8,6,600003,CA001,CA
2025,8,6,600005,AU001,AU
2025,8,6,600006,MX001,MX
2025,8,6,600007,AR001,AR
2025,8,6,600008,CO001,CO
2025,8,6,600010,CL001,CL
2025,8,6,600011,US001,US
2025,8,6,600012,IT001,IT
2025,8,6,600015,TW001,TW
2025,8,6,600016,IN001,IN
2025,8,6,600018,AT001,AT
2025,8,6,600019,NO001,NO
2025,8,6,600021,DE001,DE
2025,8,6,600022,PT001,PT
2025,8,6,600023,ES001,ES
2025,8,6,600024,PL001,PL
2025,8,6,600025,HU001,HU
2025,8,6,600026,DK001,DK
2025,8,6,600026,FI001,FI
2025,8,6,600026,SE001,SE
2025,8,6,600028,CZ001,CZ
2025,8,6,600030,AT001,AT
2025,8,6,600030,DE001,DE
2025,8,6,600031,IE001,IE
2025,8,6,600035,TR001,TR
2025,8,6,600036,ZA001,ZA
2025,8,6,600038,IQ001,IQ
2025,8,6,600039,GB001,GB
2025,8,6,600040,SA001,SA
2025,8,6,600041,BE001,BE
2025,8,6,600041,NL001,NL
2025,8,6,600048,FR001,FR
2025,8,6,600048,MA001,MA
2025,8,6,600043,JP001,JP
2025,8,1,100008,US001,US
2025,8,1,100009,US001,US
2025,8,1,100010,US001,US
2025,8,1,100011,US001,US
2025,8,1,100012,US001,US
2025,8,1,100013,US001,US
2025,8,1,100020,KR001,KR
2025,8,1,100021,KR001,KR
2025,8,1,100022,KR001,KR
2025,8,1,100024,KR001,KR
2025,8,1,100035,TW001,TW
2025,8,1,100036,TW001,TW
2025,8,1,100041,TW001,TW
2025,8,1,100025,JP001,JP
2025,8,1,100026,JP001,JP
2025,8,1,100027,JP001,JP
2025,8,1,100028,JP001,JP
2025,8,1,100029,JP001,JP
2025,8,1,100030,JP001,JP
2025,8,1,100032,CA001,CA
2025,8,1,100033,CA001,CA
2025,8,1,100034,CA001,CA
2025,8,1,100042,HK001,HK
2025,8,1,100037,AU001,AU
2025,8,1,100043,AU001,AU
2025,8,1,100038,AU001,AU
2025,8,1,100038,NZ001,NZ
2025,8,1,100044,AU001,AU
2025,8,1,100044,NZ001,NZ
2025,8,1,100039,AU001,AU
2025,8,1,100039,NZ001,NZ
2025,8,1,100040,AU001,AU
2025,8,1,100040,NZ001,NZ
2025,8,1,100045,HK001,HK
2025,8,2,200001,US001,US
2025,8,2,200002,US001,US
2025,8,2,200003,US001,US
2025,8,2,200004,US001,US
2025,8,2,200005,US001,US
2025,8,2,200006,US001,US
2025,8,2,200007,JP001,JP
2025,8,2,200008,JP001,JP
2025,8,2,200009,JP001,JP
2025,8,2,200010,JP001,JP
2025,8,2,200011,JP001,JP
2025,8,2,200012,JP001,JP
2025,8,3,300001,DE001,DE
2025,8,3,300004,FR001,FR
