Month-Year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
23-Nov,2,200006,US001,US,838,1009,20.40%,0.02%,0.10%,171,171
23-Dec,2,200006,US001,US,934,761,18.50%,0.02%,0.10%,173,-173
23-Jul,3,300001,AT001,AT,19,14.68110435,22.70%,0.00%,0.00%,4.318895652,-4.318895652
23-Aug,3,300001,AT001,AT,50,15.63881759,68.70%,0.00%,0.00%,34.36118241,-34.36118241
23-Sep,3,300001,AT001,AT,56,15.57066957,72.20%,0.00%,0.00%,40.42933043,-40.42933043
23-Oct,3,300001,AT001,AT,13,30.54538462,135.00%,0.00%,0.00%,17.54538462,17.54538462
23-Nov,3,300001,AT001,AT,13,30.47538462,134.40%,0.00%,0.00%,17.47538462,17.47538462
23-Dec,3,300001,AT001,AT,12,18.24809037,52.10%,0.00%,0.00%,6.248090371,6.248090371
23-Jul,3,300001,DE001,DE,164,185.3041022,13.00%,0.00%,0.00%,21.30410217,21.30410217
23-Aug,3,300001,DE001,DE,214,182.3804298,14.80%,0.00%,0.00%,31.61957016,-31.61957016
23-Sep,3,300001,DE001,DE,202,197.1509802,2.40%,0.00%,0.00%,4.84901982,-4.84901982
23-Oct,3,300001,DE001,DE,145,180.1642997,24.30%,0.00%,0.00%,35.16429971,35.16429971
23-Nov,3,300001,DE001,DE,218,189.2420497,13.20%,0.00%,0.00%,28.75795034,-28.75795034
23-Dec,3,300001,DE001,DE,340,210.4064346,38.10%,0.01%,0.10%,129.5935654,-129.5935654
23-Jul,3,300002,AT001,AT,2,1,50.00%,0.00%,0.00%,1,-1
23-Aug,3,300002,AT001,AT,10,1,90.00%,0.00%,0.00%,9,-9
23-Sep,3,300002,AT001,AT,3,1,66.70%,0.00%,0.00%,2,-2
23-Oct,3,300002,AT001,AT,1,1,0.00%,0.00%,0.00%,8.88178E-16,8.88178E-16
23-Nov,3,300002,AT001,AT,70,1,,0.00%,0.00%,1,1
23-Dec,3,300002,AT001,AT,1,1,0.00%,0.00%,0.00%,0,0
23-Jul,3,300002,DE001,DE,54,40.14866645,25.70%,0.00%,0.00%,13.85133355,-13.85133355
23-Aug,3,300002,DE001,DE,60,40.43292891,32.60%,0.00%,0.00%,19.56707109,-19.56707109
23-Sep,3,300002,DE001,DE,36,40.84000122,13.40%,0.00%,0.00%,4.840001218,4.840001218
23-Oct,3,300002,DE001,DE,41,39.42727898,3.80%,0.00%,0.00%,1.57272102,-1.57272102
23-Nov,3,300002,DE001,DE,113,40.7862387,63.90%,0.01%,0.00%,72.2137613,-72.2137613
23-Dec,3,300002,DE001,DE,41,47.41823606,15.70%,0.00%,0.00%,6.418236062,6.418236062
23-Sep,3,300003,DK001,DK,7,0,100.00%,0.00%,0.00%,7,-7
23-Jul,3,300004,ES001,ES,200,0,100.00%,0.02%,0.10%,200,-200
23-Jul,3,300004,FR001,FR,612,538.45,12.00%,0.01%,0.00%,73.55,-73.55
23-Aug,3,300004,FR001,FR,805,538.45,33.10%,0.02%,0.10%,266.55,-266.55
23-Sep,3,300004,FR001,FR,687,538.45,21.60%,0.02%,0.10%,148.55,-148.55
23-Oct,3,300004,FR001,FR,504,538.45,6.80%,0.00%,0.00%,34.45,34.45
23-Nov,3,300004,FR001,FR,689,538.45,21.90%,0.01%,0.10%,150.55,-150.55
23-Dec,3,300004,FR001,FR,635,602.085,5.20%,0.00%,0.00%,32.915,-32.915
23-Jul,3,300004,FR003,FR,32,11.55,63.90%,0.00%,0.00%,20.45,-20.45
23-Aug,3,300004,FR003,FR,0,11.55,,0.00%,0.00%,11.55,11.55
23-Sep,3,300004,FR003,FR,0,11.55,,0.00%,0.00%,11.55,11.55
23-Oct,3,300004,FR003,FR,0,11.55,,0.00%,0.00%,11.55,11.55
23-Nov,3,300004,FR003,FR,35,11.55,67.00%,0.00%,0.00%,23.45,-23.45
23-Dec,3,300004,FR003,FR,7,12.915,84.50%,0.00%,0.00%,5.915,5.915
23-Jul,3,300004,GR001,GR,36,0,100.00%,0.00%,0.00%,36,-36
23-Aug,3,300004,GR001,GR,45,80,77.80%,0.00%,0.00%,35,35
23-Sep,3,300004,GR001,GR,69,90,30.40%,0.00%,0.00%,21,21
23-Oct,3,300004,GR001,GR,161,110,31.70%,0.00%,0.00%,51,-51
23-Nov,3,300004,GR001,GR,17,125,635.30%,0.01%,0.10%,108,108
23-Dec,3,300004,GR001,GR,59,20,66.10%,0.00%,0.00%,39,-39
23-Jul,3,300004,PT001,PT,20,0,100.00%,0.00%,0.00%,20,-20
23-Sep,3,300004,PT001,PT,31,0,100.00%,0.00%,0.00%,31,-31
23-Jul,3,300005,FI001,FI,39,14,64.10%,0.00%,0.00%,25,-25
23-Aug,3,300005,FI001,FI,0,10,,0.00%,0.00%,10,10
23-Sep,3,300005,FI001,FI,0,10,,0.00%,0.00%,10,10
23-Oct,3,300005,FI001,FI,0,10,,0.00%,0.00%,10,10
23-Nov,3,300005,FI001,FI,0,14,,0.00%,0.00%,14,14
23-Dec,3,300005,FI001,FI,0,14,,0.00%,0.00%,14,14
23-Dec,3,300005,GB001,GB,0,10,,0.00%,0.00%,10,10
23-Sep,3,300005,IE001,IE,60,0,100.00%,0.01%,0.00%,60,-60
23-Jul,3,300005,SE001,SE,0,45,,0.00%,0.00%,45,45
23-Aug,3,300005,SE001,SE,3,45,1400.00%,0.00%,0.00%,42,42
23-Sep,3,300005,SE001,SE,29,40,37.90%,0.00%,0.00%,11,11
23-Oct,3,300005,SE001,SE,44,40,9.10%,0.00%,0.00%,4,-4
23-Nov,3,300005,SE001,SE,84,32,61.90%,0.00%,0.00%,52,-52
23-Dec,3,300005,SE001,SE,71,60,15.50%,0.00%,0.00%,11,-11
23-Jul,3,300006,US001,US,"2,204",1576,28.50%,0.06%,0.40%,628,-628
23-Aug,3,300006,US001,US,"1,325",1565,18.10%,0.02%,0.10%,240,240
23-Sep,3,300006,US001,US,"1,011",1527,51.00%,0.05%,0.30%,516,516
23-Oct,3,300006,US001,US,"1,967",1535,22.00%,0.04%,0.20%,432,-432
23-Nov,3,300006,US001,US,968,1581,63.30%,0.06%,0.30%,613,613
23-Dec,3,300006,US001,US,"1,174",1582,34.80%,0.04%,0.20%,408,408
23-Sep,3,300007,AE001,AE,200,4.327862218,,0.00%,0.00%,4.327862218,4.327862218
23-Aug,3,300007,AE002,AE,70,0,100.00%,0.01%,0.00%,70,-70
23-Sep,3,300007,AE002,AE,50,35,30.00%,0.00%,0.00%,15,-15
23-Oct,3,300007,AE002,AE,50,0,100.00%,0.00%,0.00%,50,-50
23-Nov,3,300007,AE002,AE,0,30,,0.00%,0.00%,30,30
23-Jul,3,300007,ES001,ES,33,0,100.00%,0.00%,0.00%,33,-33
23-Jul,3,300007,GB001,GB,430,463,7.70%,0.00%,0.00%,33,33
23-Aug,3,300007,GB001,GB,262,467,78.20%,0.02%,0.10%,205,205
23-Sep,3,300007,GB001,GB,441,470,6.60%,0.00%,0.00%,29,29
23-Oct,3,300007,GB001,GB,345,474,37.40%,0.01%,0.10%,129,129
23-Nov,3,300007,GB001,GB,149,249.8739708,67.70%,0.01%,0.10%,100.8739708,100.8739708
23-Dec,3,300007,GB001,GB,240,245.5247288,2.30%,0.00%,0.00%,5.524728763,5.524728763
23-Sep,3,300007,KW001,KW,150,0,100.00%,0.02%,0.10%,150,-150
23-Dec,3,300007,OM001,OM,8,0,100.00%,0.00%,0.00%,8,-8
23-Oct,3,300007,QA001,QA,65,0,100.00%,0.01%,0.00%,65,-65
23-Dec,3,300007,QA001,QA,0,105,,0.01%,0.00%,105,105
23-Dec,3,300007,RU001,RU,160,0,100.00%,0.01%,0.10%,160,-160
23-Aug,3,300007,SA001,SA,101,100,1.00%,0.00%,0.00%,1,-1
23-Sep,3,300007,SA001,SA,10,45,350.00%,0.00%,0.00%,35,35
23-Oct,3,300007,SA001,SA,87,115,32.20%,0.00%,0.00%,28,28
23-Nov,3,300007,SA001,SA,28,115,310.70%,0.01%,0.00%,87,87
23-Dec,3,300007,SA001,SA,0,50,,0.00%,0.00%,50,50
23-Jul,3,300007,SE001,SE,13,0,100.00%,0.00%,0.00%,13,-13
23-Aug,3,300007,SE001,SE,45,0,100.00%,0.00%,0.00%,45,-45
23-Sep,3,300007,SE001,SE,27,0,100.00%,0.00%,0.00%,27,-27
23-Jul,3,300008,BE001,BE,70,167,138.60%,0.01%,0.10%,97,97
23-Aug,3,300008,BE001,BE,177,135,23.70%,0.00%,0.00%,42,-42
23-Sep,3,300008,BE001,BE,137,135,1.50%,0.00%,0.00%,2,-2
23-Oct,3,300008,BE001,BE,52,116,123.10%,0.01%,0.00%,64,64
23-Nov,3,300008,BE001,BE,152,100,34.20%,0.00%,0.00%,52,-52
23-Dec,3,300008,BE001,BE,79,99,25.30%,0.00%,0.00%,20,20
23-Jul,3,300008,NL001,NL,0,98,,0.01%,0.10%,98,98
23-Aug,3,300008,NL001,NL,15,98,553.30%,0.01%,0.00%,83,83
23-Sep,3,300008,NL001,NL,57,83,45.60%,0.00%,0.00%,26,26
23-Oct,3,300008,NL001,NL,49,75,53.10%,0.00%,0.00%,26,26
23-Nov,3,300008,NL001,NL,98,75,23.50%,0.00%,0.00%,23,-23
23-Dec,3,300008,NL001,NL,54,75,38.90%,0.00%,0.00%,21,21
23-Jul,3,300009,CA001,CA,158,0,100.00%,0.02%,0.10%,158,-158
23-Sep,3,300009,CA001,CA,3,0,100.00%,0.00%,0.00%,3,-3
23-Jul,3,300010,CH001,CH,0,65,,0.01%,0.00%,65,65
23-Aug,3,300010,CH001,CH,12,65,441.70%,0.00%,0.00%,53,53
23-Sep,3,300010,CH001,CH,6,65,983.30%,0.01%,0.00%,59,59
23-Oct,3,300010,CH001,CH,45,65,44.40%,0.00%,0.00%,20,20
23-Nov,3,300010,CH001,CH,21,65.01128668,209.60%,0.00%,0.00%,44.01128668,44.01128668
23-Dec,3,300010,CH001,CH,0,65.01128668,,0.01%,0.00%,65.01128668,65.01128668
23-Jul,3,300011,IT001,IT,854,1065,24.70%,0.02%,0.10%,211,211
23-Aug,3,300011,IT001,IT,540,1305,141.70%,0.07%,0.40%,765,765
23-Sep,3,300011,IT001,IT,546,935,71.20%,0.04%,0.20%,389,389
