month,year,product_family,gmid,loc,country,sales,gmid_key
5,2025,15,150120,IE001,IE,143,150120_202505_IE
5,2025,15,150120,NL001,NL,1118,150120_202505_NL
5,2025,15,150121,GB001,GB,101,150121_202505_GB
5,2025,15,150121,IE001,IE,1366,150121_202505_IE
5,2025,15,150121,NL001,NL,2738,150121_202505_NL
5,2025,15,150122,ES001,ES,2488,150122_202505_ES
5,2025,15,150123,ES001,ES,17366,150123_202505_ES
5,2025,15,150124,AT001,AT,230,150124_202505_AT
5,2025,15,150124,DE001,DE,413,150124_202505_DE
5,2025,15,150125,AT001,AT,6846,150125_202505_AT
5,2025,15,150125,DE001,DE,2845,150125_202505_DE
5,2025,15,150126,DE001,DE,770,150126_202505_DE
5,2025,15,150127,DE001,DE,9840,150127_202505_DE
5,2025,15,150128,HK001,HK,216,150128_202505_HK
5,2025,15,150129,HK001,HK,1115,150129_202505_HK
5,2025,15,150135,TW001,TW,255,150135_202505_TW
5,2025,15,150162,CA001,CA,13743,150162_202505_CA
5,2025,15,150163,CA001,CA,1684,150163_202505_CA
5,2025,15,150136,GB001,GB,16113,150136_202505_GB
5,2025,15,150164,GB001,GB,2704,150164_202505_GB
5,2025,15,150137,DK001,DK,1702,150137_202505_DK
5,2025,15,150137,IS001,IS,80,150137_202505_IS
5,2025,15,150137,NO001,NO,1694,150137_202505_NO
5,2025,15,150138,DK001,DK,83,150138_202505_DK
5,2025,15,150138,IS001,IS,150,150138_202505_IS
5,2025,15,150138,NO001,NO,187,150138_202505_NO
5,2025,15,150139,FR001,FR,29564,150139_202505_FR
5,2025,15,150140,FR001,FR,2425,150140_202505_FR
5,2025,15,150141,PT001,PT,2908,150141_202505_PT
5,2025,15,150142,PT001,PT,262,150142_202505_PT
5,2025,15,150143,CZ001,CZ,1141,150143_202505_CZ
5,2025,15,150143,PL001,PL,327,150143_202505_PL
5,2025,15,150144,CZ001,CZ,86,150144_202505_CZ
5,2025,15,150144,PL001,PL,67,150144_202505_PL
5,2025,15,150165,CH001,CH,2808,150165_202505_CH
5,2025,15,150166,CH001,CH,277,150166_202505_CH
5,2025,15,150145,BE001,BE,125,150145_202505_BE
5,2025,15,150146,BE001,BE,133,150146_202505_BE
5,2025,15,150147,BE001,BE,919,150147_202505_BE
5,2025,15,150148,BE001,BE,641,150148_202505_BE
5,2025,15,150167,RO001,RO,460,150167_202505_RO
5,2025,15,150183,AE002,AE,500,150183_202505_AE
5,2025,15,150183,KW001,KW,0,150183_202505_KW
5,2025,15,150184,AE002,AE,4900,150184_202505_AE
5,2025,15,150184,BH001,BH,0,150184_202505_BH
5,2025,15,150184,KW001,KW,400,150184_202505_KW
5,2025,15,150168,CY001,CY,15,150168_202505_CY
5,2025,15,150168,GR001,GR,915,150168_202505_GR
5,2025,15,150168,RO001,RO,1025,150168_202505_RO
5,2025,15,150185,IT001,IT,1,150185_202505_IT
5,2025,15,150169,FI001,FI,119,150169_202505_FI
5,2025,15,150169,SE001,SE,186,150169_202505_SE
5,2025,15,150170,FI001,FI,1627,150170_202505_FI
5,2025,15,150170,SE001,SE,3274,150170_202505_SE
5,2025,15,150171,HU001,HU,1217,150171_202505_HU
5,2025,15,150189,IT001,IT,0,150189_202505_IT
5,2025,15,150172,IT001,IT,1401,150172_202505_IT
5,2025,15,150173,IT001,IT,29232,150173_202505_IT
5,2025,15,150174,SA001,SA,94,150174_202505_SA
5,2025,15,150175,SA001,SA,5834,150175_202505_SA
5,2025,15,150150,JP001,JP,10266,150150_202505_JP
5,2025,15,150151,FR001,FR,188,150151_202505_FR
5,2025,15,150176,IN001,IN,0,150176_202505_IN
5,2025,15,150152,JP001,JP,13960,150152_202505_JP
5,2025,15,150186,RU001,RU,213,150186_202505_RU
5,2025,15,150187,RU001,RU,4377,150187_202505_RU
5,2025,15,150177,JP001,JP,168486,150177_202505_JP
5,2025,15,150178,ZA001,ZA,9,150178_202505_ZA
5,2025,15,150179,BR001,BR,50,150179_202505_BR
5,2025,15,150180,BR001,BR,0,150180_202505_BR
5,2025,15,150181,HU001,HU,51,150181_202505_HU
5,2025,15,150188,TR001,TR,0,150188_202505_TR
5,2025,15,150190,NL001,NL,2998,150190_202505_NL
5,2025,9,900001,TW001,TW,396,900001_202505_TW
5,2025,9,900002,AU001,AU,397,900002_202505_AU
5,2025,9,900002,NZ001,NZ,15,900002_202505_NZ
5,2025,9,900003,KR001,KR,362,900003_202505_KR
5,2025,9,900004,HK001,HK,19,900004_202505_HK
5,2025,9,900005,MY001,MY,226,900005_202505_MY
5,2025,9,900006,TH001,TH,30,900006_202505_TH
5,2025,9,900007,ZA001,ZA,95,900007_202505_ZA
5,2025,9,900009,JP001,JP,952,900009_202505_JP
5,2025,4,400005,AU001,AU,283,400005_202505_AU
5,2025,4,400006,US001,US,789,400006_202505_US
